Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
63708.61069626262,5.149084162219537,5.61548572926689,4.498351218645267,52449.890214348074,1782747.3015477774,"8615 Pine St, City 0, State 52174"
115564.28757689246,5.787485275000171,5.3303846736198235,5.733733862562971,16993.27971391625,2137762.847148149,"3943 Main St, City 1, State 24414"
95879.45476302646,8.836379145617443,4.23307738752002,4.8133339032816655,27531.5801340426,1955374.9249597697,"2378 Pine St, City 2, State 61255"
83879.26357773329,4.720035088479137,7.250866690710415,2.416512915558982,48113.24139575819,1968325.4459273426,"1272 Main St, City 3, State 55316"
44041.67763981929,8.95719747849737,6.336369123560402,2.927901183917777,36335.8073940912,1593263.5967254806,"435 Maple St, City 4, State 79307"
44039.50683025824,2.705075447813532,9.059906946268026,3.096640920154596,53007.1175112681,1580338.5510825943,"8727 Main St, City 5, State 94070"
35227.52509513795,8.214387497669046,3.224767063374408,3.2893212682242243,67478.51357948588,1423433.1965771653,"4125 Oak St, City 6, State 15602"
107955.85311974416,8.78038106443789,7.5070754928858845,4.827016959752521,12575.534701487837,2314889.490076637,"5168 Maple St, City 7, State 63201"
84100.35105688879,3.45454122269871,8.340642149580928,4.519828899126967,51121.90156587396,2075708.8491082573,"547 Oak St, City 8, State 96342"
93726.5320016441,5.4427722589776035,8.316405984318148,3.015800191821045,19972.370116087444,2156690.1507821744,"9944 Main St, City 9, State 74687"
31852.604486622222,3.323998197309245,9.202517769668676,2.3377742172784353,31940.987281492,1400919.1309769072,"3116 Maple St, City 10, State 42893"
117291.88669457949,7.652833031953742,8.103236199806458,2.8571610223735906,7136.077176684088,2344899.8237301083,"9521 Pine St, City 11, State 14180"
104919.83767203796,6.282782144493254,9.494670431533875,6.9219065630930166,13833.97984902543,2411540.9860000517,"5161 Maple St, City 12, State 19766"
49110.519961044854,7.082586773666568,5.32859619874624,4.342734748957361,25785.523788178478,1469869.0668564828,"1943 Main St, City 13, State 96377"
46364.24704863905,3.571895735649689,6.522465917260801,6.336727523510563,27229.077343719022,1497655.8216943056,"1255 Pine St, City 14, State 69192"
46506.40588680904,3.693966896419356,3.098557642980235,6.2437623333442165,63473.039070036226,1502597.221995716,"8112 Pine St, City 15, State 57592"
57381.80186635839,2.331978604079251,3.0487031111230385,4.557597787314369,53217.83910232348,1355780.9485767782,"5354 Oak St, City 16, State 23118"
77228.07884690141,4.576540281565838,4.680886343160639,5.533438542302718,68191.89293215767,1905199.723832758,"9510 Pine St, City 17, State 74610"
68875.05167779041,6.4779572906694,3.705650379973597,2.963760052063561,43939.648171790635,1547178.6210358553,"361 Main St, City 18, State 89722"
56210.62261782377,8.86347931197863,4.821479575550275,5.441983524634542,20711.392585935668,1854700.9116103936,"8550 Oak St, City 19, State 99704"
85066.76052501415,7.335419579669446,4.239303061698782,3.3619228963164476,26297.576944906785,1724092.7637512933,"8089 Maple St, City 20, State 42831"
42554.44745868377,5.483170587198011,3.1996401738705376,6.160310483770754,25789.33501397786,1102651.8613846456,"2229 Maple St, City 21, State 98252"
56293.018368169636,9.624960915153103,9.365129024842346,2.4186206655445495,26222.131298111355,2083076.2399054405,"3939 Pine St, City 22, State 98233"
